date_id,weather_main,weather_description,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_sunrise,sys_sunset,id,name
111418,Clouds,broken clouds,298.15,1014,78,298.15,298.15,10000,1,270,75,1542236400,1542146305,1542187427,1689973,San Francisco
111518,Clouds,broken clouds,298.15,1014,78,298.15,298.15,10000,1,270,75,1542322800,1542319134,1542360219,1689973,San Francisco
111618,Clouds,broken clouds,304.15,1014,58,304.15,304.15,10000,3.1,40,75,1542427200,1542405568,1542446612,1689973,San Francisco
111718,Clouds,broken clouds,298.15,1015,73,298.15,298.15,10000,1,280,75,1542553200,1542492012,1542533005,1689973,San Francisco
111818,Clouds,few clouds,302.697,1017.29,82,302.697,302.697,,2.01,122,12,1542599368,1542578427,1542619403,1689973,San Francisco
111918,Clouds,broken clouds,302.15,1014,58,302.15,302.15,10000,3.1,360,75,1542682800,1542664858,1542705800,1689973,San Francisco
112018,Rain,light rain,299.15,1013,78,299.15,299.15,7000,3.1,360,90,1542769200,1542751290,1542792199,1689973,San Francisco
112218,Clouds,broken clouds,299.15,1014,78,299.15,299.15,10000,1,350,75,1542898800,1542837736,1542878599,1689973,San Francisco
112318,Clouds,scattered clouds,298.15,1015,78,298.15,298.15,10000,2.6,320,40,1542988800,1542924170,1542965001,1689973,San Francisco
112518,Clouds,scattered clouds,298.15,1015,78,298.15,298.15,10000,1,360,40,1543158000,1543097033,1543137808,1689973,San Francisco
112718,Clouds,broken clouds,304.15,1015,52,304.15,304.15,10000,4.1,40,75,1543291200,1543269885,1543310617,1689973,San Francisco
112818,Clouds,broken clouds,303.15,1018,58,303.15,303.15,10000,2.1,350,75,1543460400,1543442750,1543483432,1689973,San Francisco
113018,Clouds,scattered clouds,304.15,1014,45,304.15,304.15,10000,2.1,40,40,1543636800,1543615620,1543656252,1689973,San Francisco
120118,Clouds,scattered clouds,297.15,1012,78,297.15,297.15,10000,1,320,40,1543694400,1543615642,1543656259,1689973,San Francisco
